id|course_id|grade
6|3|6.25
6|3|7.25
6|3|8.25
6|3|8
6|3|6
6|3|9.75
6|5|7.5
6|5|6.5
6|5|5.75
6|6|8
6|6|8
6|6|10.5
6|6|11
6|6|11
6|6|8
6|6|12
6|7|11
6|7|9.75
6|7|10.5
6|7|9.75
6|7|11.5
6|7|10.75
6|7|9.75
6|7|13
6|7|11.25
6|7|9.75
6|1|13.5
6|1|4.5
6|1|7
6|1|9
6|1|5.5
6|1|*
6|1|6
6|1|6.5
6|1|6.5
6|1|5.5
6|9|16
6|9|12
6|9|10.75
6|4|7.5
6|4|11.5
6|4|8
6|4|10
6|4|9
6|4|20
6|4|9.5
6|4|6.5
6|4|5
6|4|11
6|10|8.5
6|10|11.5
6|10|9.5
6|8|13
6|8|15
6|8|11
6|2|12
6|2|7
6|2|10.5
6|2|8
6|2|10
6|2|11.5
20|3|9.5
20|3|4.75
20|3|7.5
20|3|8
20|3|8.25
20|3|7
20|3|7.75
20|3|7
20|5|5.25
20|5|9.75
20|5|10.25
20|6|10.5
20|6|12
20|6|11
20|6|10
20|6|13
20|7|12.25
20|7|12
20|7|12.5
20|7|11.75
20|7|9.5
20|7|13
20|7|12.25
20|7|11.25
20|7|11.5
20|1|5
20|1|11.5
20|1|8
20|1|7.5
20|1|9
20|1|6
20|1|7.5
20|1|*
20|1|12.5
20|9|14.25
20|9|8.5
20|9|15.75
20|9|12.25
20|4|12.5
20|4|12.5
20|4|8
20|4|9.5
20|4|16
20|4|7.5
20|4|6
20|4|11
20|4|8.5
20|4|10.5
20|10|10
20|10|8
20|10|6.5
20|8|12.5
20|8|14
20|8|13
20|2|9.5
20|2|10
20|2|8.5
20|2|8.5
20|2|9
20|2|10
20|2|9
37|3|7.5
37|3|7.25
37|3|8.5
37|3|6.5
37|3|6.5
37|3|7.25
37|3|7.75
37|3|6.5
37|5|9
37|5|6.25
37|6|8.5
37|6|12.5
37|6|10
37|6|10.5
37|6|11
37|6|11
37|6|9
37|7|12.5
37|7|10.75
37|7|13.25
37|7|11.5
37|7|10.75
37|7|11.25
37|7|12.75
37|7|10
37|7|10.75
37|7|10.5
37|1|8.5
37|1|7.5
37|1|8
37|1|7.5
37|1|5.5
37|1|8.5
37|1|7
37|1|12
37|1|7.5
37|1|7.5
37|9|11.75
37|9|10.5
37|9|13.75
37|9|12.25
37|4|14
37|4|10
37|4|11
37|4|11
37|4|11
37|4|8
37|4|12
37|4|10
